Average Cyclomatic:{}
Average Cyclomatic:{'NamespaceImpl': 0.75}
Average Cyclomatic:{'EntityReferenceImpl': 1.3333333333333333}
Average Cyclomatic:{'EndDocumentImpl': 1.0}
Average Cyclomatic:{'StartElementImpl': 1.5}
Average Cyclomatic:{'CommentImpl': 1.5}
Average Cyclomatic:{'DTDImpl': 0.6}
Average Cyclomatic:{'EndElementImpl': 3.0}
Average Cyclomatic:{'EntityDeclarationImpl': 0.5714285714285714}
Average Cyclomatic:{'StartDocumentImpl': 0.8571428571428571}
Average Cyclomatic:{'ElementImpl': 0, 'NoRemoveIterator': 0.3333333333333333}
Average Cyclomatic:{'AttributeImpl': 0.6}
Average Cyclomatic:{'NotationDeclarationImpl': 1.0}
Average Cyclomatic:{'XMLEventImpl': 0.1875}
Average Cyclomatic:{'ProcessingInstructionImpl': 1.3333333333333333}
Average Cyclomatic:{'XMLNamespaceBinder': 1.78125}
Average Cyclomatic:{'XMLNSDocumentScannerImpl': 0, 'NSContentDispatcher': 3.5}
Average Cyclomatic:{'XMLDocumentScannerImpl': 0, 'XMLDeclDispatcher': 9.0, 'PrologDispatcher': 30.0, 'DTDDispatcher': 16.0, 'ContentDispatcher': 1.8, 'TrailingMiscDispatcher': 21.0}
Average Cyclomatic:{'XML11NamespaceBinder': 1.0}
Average Cyclomatic:{}
Average Cyclomatic:{'XMLVersionDetector': 4.25}
Average Cyclomatic:{'XMLDTDScannerImpl': 5.857142857142857}
