Class,PK_CountLineCode,PK_CountStmt,PK_CountDeclClassMethod,PK_CountDeclClassVariable,PK_CountDeclInstanceMethod,PK_CountDeclInstanceVariable,PK_CountDeclClass,PK_CountDeclFile,PK_SumCyclomatic,PK_MaxNesting,PK_CountDeclMethodDefault,PK_CountDeclMethodPrivate,PK_CountDeclMethodProtected,PK_CountDeclMethodPublic,PK_PKNOAMM,PK_PKNOI,PK_PKNOAC,CSLEX_NumberOfTokens,CSLEX_NumberOfUniqueTokens,CSLEX_NumberOfIdentifies,CSLEX_NumberOfUniqueIdentifiers,CSLEX_NumberOfKeywords,CSLEX_NumberOfUniqueKeywords,CSLEX_NumberOfAssignments,CSLEX_NumberOfOperatorsWithoutAssignments,CSLEX_NumberOfUniqueOperators,CSLEX_NumberOfSemicolons,CSLEX_NumberOfDots,CSLEX_NumberOfReturnAndPrintStatements,CSLEX_NumberOfConditionalJumpStatements,CSLEX_NumberOfUnConditionalJumpStatements,CSLEX_NumberOfExceptionStatements,CSLEX_NumberOfNewStatements,CSLEX_NumberOfSuperStatements,CSORD_CountLineCode,CSORD_CountStmt,CSORD_CountDeclClassMethod,CSORD_CountDeclClassVariable,CSORD_CountDeclInstanceMethod,CSORD_CountDeclInstanceVariable,CSORD_SumCSNOP,CSORD_SumCyclomatic,CSORD_MaxNesting,CSORD_PercentLackOfCohesion,CSORD_CountClassCoupled,CSORD_RFC,CSORD_FANIN,CSORD_FANOUT,CSORD_ATFD,CSORD_CFNAMM,CSORD_DAC,CSORD_NumberOfMethodCalls,CSORD_CountDeclMethodDefault,CSORD_CountDeclMethodPrivate,CSORD_CountDeclMethodProtected,CSORD_CountDeclMethodPublic,CSORD_CSNOAMM,CSORD_MaxInheritanceTree,CSORD_CountClassDerived,CSORD_CountClassBase,CSORD_NIM,CSORD_NMO,CSORD_NOII,CSORD_SumCountPath,CSORD_SumKnots,CSORD_NumberOfDepends,CSORD_NumberOfDependsBy,CSORD_NumberOfMethods,Testability
com.sap.engine.services.dc.wsgate.DeployLocalResponse,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,932,114,208,56,79,18,13,14,6,34,113,11,6,0,0,7,0,77,50,3,1,6,4,9,15,1,80,4,7,16,16,1,1,4,6,0,0,0,9,5,1,0,2,12,2,21,15,5,1,1,9,0.6317037037037037
com.sap.engine.services.dc.wsgate.DeployResponse,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,932,114,208,56,79,18,13,14,6,34,113,11,6,0,0,7,0,77,50,3,1,6,4,9,15,1,80,4,7,16,16,1,1,4,6,0,0,0,9,5,1,0,2,12,2,21,15,5,1,1,9,0.6317037037037037
com.sap.engine.services.dc.wsgate.DeployResult,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1709,146,383,73,130,19,22,37,8,64,208,14,10,0,0,13,0,136,90,3,1,12,6,16,25,3,81,5,20,40,34,2,3,6,7,0,0,0,15,11,1,0,2,12,2,21,35,5,1,10,15,0.6940538308860369
com.sap.engine.services.dc.wsgate.DeployWSPortTypeBindingStub,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,9979,281,2929,176,485,27,114,21,4,407,1921,15,44,0,75,135,26,612,480,1,1,11,4,14,71,4,73,25,0,59,132,10,0,5,1,0,1,1,10,2,2,0,2,12,7,21,750,52,16,1,12,0.4694010416666667
com.sap.engine.services.dc.wsgate.DeployWSPortTypeProxy,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1157,81,329,46,65,14,6,11,2,27,202,9,11,0,9,1,0,70,53,0,0,13,2,13,25,3,46,8,0,36,36,0,0,1,0,0,1,0,12,5,1,0,2,12,7,21,25,2,7,0,13,0.0976666666666666
com.sap.engine.services.dc.wsgate.DeployWSServiceLocator,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1243,121,318,69,83,18,11,7,4,35,176,11,6,0,17,11,2,94,59,0,0,15,3,13,24,2,84,11,0,32,32,4,0,3,0,0,0,0,15,12,2,0,2,12,3,21,23,8,3,3,15,0.7121796690307329
com.sap.engine.services.dc.wsgate.GetVersion,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,594,91,125,45,59,17,10,5,3,22,60,10,5,0,0,4,0,53,34,3,1,3,2,7,11,1,72,3,1,10,8,1,0,2,1,0,0,0,6,4,1,0,2,12,2,21,11,5,0,1,6,0.4314655172413792
com.sap.engine.services.dc.wsgate.GetVersionResponse,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,900,114,192,55,79,18,13,14,6,34,97,11,6,0,0,7,0,77,50,3,1,6,4,9,15,1,80,3,7,16,16,1,1,4,6,0,0,0,9,7,1,0,2,12,2,21,15,5,0,1,9,0.639578947368421
com.sap.engine.services.dc.wsgate.Option,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1183,119,253,58,98,18,16,23,6,46,130,12,7,0,0,10,0,99,65,3,1,8,5,11,18,1,80,3,13,24,21,1,2,5,6,0,0,0,11,7,1,0,2,12,2,21,19,5,0,10,11,0.7581864406779661
com.sap.engine.services.dc.wsgate.Start,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1669,140,391,71,124,19,22,33,8,58,220,14,11,0,0,10,0,129,85,3,1,12,5,17,26,3,81,6,15,30,29,2,2,5,7,0,0,0,15,11,1,0,2,12,2,21,35,5,2,1,15,0.7017961786755519
com.sap.engine.services.dc.wsgate.Stop,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1669,140,391,71,124,19,22,33,8,58,220,14,11,0,0,10,0,129,85,3,1,12,5,17,26,3,81,6,13,30,29,2,2,5,7,0,0,0,15,11,1,0,2,12,2,21,35,5,2,1,15,0.7038704724007755
com.sap.engine.services.dc.wsgate.Undeploy,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1669,140,391,71,124,19,22,33,8,58,220,14,11,0,0,10,0,129,85,3,1,12,5,17,26,3,81,6,15,30,29,2,2,5,7,0,0,0,15,11,1,0,2,12,2,21,35,5,2,1,15,0.7017961786755519
com.sap.engine.services.dc.wsgate.UndeployResponse,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,932,114,208,56,79,18,13,14,6,34,113,11,6,0,0,7,0,77,50,3,1,6,4,9,15,1,80,4,7,16,16,1,1,4,6,0,0,0,9,5,1,0,2,12,2,21,15,5,1,1,9,0.6343736263736263
com.sap.managementconsole.soap.axis.sapcontrol.AccessPoint,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1945,137,415,66,152,18,25,44,6,81,215,15,9,0,0,19,0,160,108,3,1,14,8,17,26,1,83,3,30,46,36,1,5,7,6,0,0,0,17,13,1,0,2,12,2,21,37,5,0,6,17,0.720455302261495
com.sap.managementconsole.soap.axis.sapcontrol.Alert,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,2615,156,572,72,193,18,31,68,6,105,310,17,12,0,0,25,0,208,139,3,1,18,10,21,33,1,85,4,42,52,48,1,7,10,6,0,0,0,21,17,1,0,2,12,2,21,153,5,1,3,21,0.7721559906005859
com.sap.managementconsole.soap.axis.sapcontrol.AlertNode,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,3706,184,823,85,266,18,43,98,6,150,458,21,15,0,0,37,0,289,195,3,1,26,14,29,44,1,88,5,63,76,70,1,11,13,6,0,0,0,29,25,1,0,2,12,2,21,1057,5,2,2,29,0.8169360972147106
com.sap.managementconsole.soap.axis.sapcontrol.DirEntry,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1390,127,295,61,115,19,19,26,6,57,150,13,7,0,0,14,0,116,78,3,1,10,6,13,20,1,81,4,18,28,28,1,3,5,6,0,0,0,13,9,1,0,2,12,2,21,21,5,0,2,13,0.7574931506849317
com.sap.managementconsole.soap.axis.sapcontrol.EnqLock,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,3771,191,805,90,279,18,46,97,8,163,421,22,15,0,0,40,0,304,209,3,1,28,15,31,46,1,89,4,70,84,72,1,12,12,6,0,0,0,31,26,1,0,2,12,2,21,547,5,0,2,31,0.8218342907040358
com.sap.managementconsole.soap.axis.sapcontrol.GCInfo,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,3799,194,789,94,303,19,52,71,6,180,393,24,9,0,0,53,0,313,225,3,1,32,17,35,44,1,90,4,75,94,83,1,14,7,6,0,0,0,35,31,1,0,2,12,2,21,55,5,0,2,35,0.8945510752688173
com.sap.managementconsole.soap.axis.sapcontrol.GCInfo2,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,4312,208,906,101,339,19,58,83,6,202,461,26,10,0,0,60,0,351,252,3,1,36,19,39,49,1,91,5,85,106,95,1,16,8,6,0,0,0,39,35,1,0,2,12,2,21,75,5,1,2,39,0.8937793998377941
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,2527,159,538,77,202,19,34,47,6,112,278,18,8,0,0,33,0,205,144,3,1,20,11,23,31,1,86,5,43,58,55,1,8,6,6,0,0,0,23,19,1,0,2,12,2,21,35,5,1,2,23,0.776749021003916
com.sap.managementconsole.soap.axis.sapcontrol.ICMCacheEntry,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,2934,173,624,82,223,19,37,70,8,127,323,19,12,0,0,32,0,238,164,3,1,22,12,25,37,1,87,5,52,66,59,1,9,9,6,0,0,0,25,20,1,0,2,12,2,21,93,5,0,2,25,0.8046669624307476
com.sap.managementconsole.soap.axis.sapcontrol.ICMConnection,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,3587,186,758,87,273,18,46,83,6,161,390,22,12,0,0,40,0,294,205,3,1,28,15,31,43,1,89,3,68,82,71,1,12,10,6,0,0,0,31,27,1,0,2,12,2,21,163,5,0,2,31,0.8240769688553861
com.sap.managementconsole.soap.axis.sapcontrol.ICMProxyConnection,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,5080,220,1084,103,371,18,61,134,6,222,569,27,18,0,0,55,0,409,282,3,1,38,20,41,59,1,91,4,0,112,98,1,0,16,6,0,0,0,41,37,1,0,2,12,2,21,8237,5,0,2,41,0.8471289046230738
com.sap.managementconsole.soap.axis.sapcontrol.ICMThread,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1954,139,417,67,153,19,25,44,6,81,216,15,9,0,0,20,0,160,108,3,1,14,8,17,26,1,83,4,30,40,38,1,5,7,6,0,0,0,17,13,1,0,2,12,2,21,37,5,0,2,17,0.71815625
com.sap.managementconsole.soap.axis.sapcontrol.InstanceProperty,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1464,124,314,60,117,18,19,32,6,58,163,13,8,0,0,13,0,121,80,3,1,10,6,13,21,1,81,3,19,29,26,1,3,6,6,0,0,0,13,9,1,0,2,12,2,21,25,5,0,3,13,0.764344370860927
com.sap.managementconsole.soap.axis.sapcontrol.InstanceVersionInfo,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1464,127,314,60,117,18,19,32,6,58,163,13,8,0,0,13,0,121,80,3,1,10,6,13,21,1,81,3,19,28,26,1,3,6,6,0,0,0,13,9,1,0,2,12,2,21,25,5,0,2,13,0.7623087248322146
com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1945,142,415,66,152,18,25,44,6,81,215,15,9,0,0,19,0,160,108,3,1,14,8,17,26,1,83,3,30,40,36,1,5,7,6,0,0,0,17,13,1,0,2,12,2,21,37,5,0,2,17,0.7194322916666667
com.sap.managementconsole.soap.axis.sapcontrol.J2EECache,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,4665,220,976,107,366,19,64,89,6,224,494,28,10,0,0,61,0,385,278,3,1,40,21,43,53,1,91,5,95,118,105,1,18,8,6,0,0,0,43,39,1,0,2,12,2,21,79,5,1,2,43,0.9061138392857142
com.sap.managementconsole.soap.axis.sapcontrol.J2EECache2,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,4947,225,1037,109,385,19,67,98,6,236,527,29,11,0,0,64,0,407,293,3,1,42,22,45,56,1,92,5,101,124,110,1,19,9,6,0,0,0,45,41,1,0,2,12,2,21,113,5,1,2,45,0.8553219087550987
com.sap.managementconsole.soap.axis.sapcontrol.J2EEClusterMsg,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,3054,182,631,85,251,19,43,50,6,145,310,21,7,0,0,46,0,252,182,3,1,26,14,29,36,1,88,4,58,76,68,1,11,5,6,0,0,0,29,25,1,0,2,12,2,21,37,5,0,2,29,0.8762683706070288
com.sap.managementconsole.soap.axis.sapcontrol.J2EEEJBSession,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,4433,198,941,96,330,18,55,110,6,197,489,25,15,0,0,49,0,360,250,3,1,34,18,37,52,1,90,3,86,100,86,1,15,13,6,0,0,0,37,33,1,0,2,12,2,21,1065,5,0,2,37,0.8558496700994594
com.sap.managementconsole.soap.axis.sapcontrol.J2EEPSTATE,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,930,116,225,68,102,17,18,2,1,32,101,10,1,0,4,13,0,62,45,5,16,6,1,10,12,1,78,6,1,24,18,1,0,17,2,0,0,1,10,4,1,0,2,12,3,21,12,0,0,6,11,0.7813447293447294
com.sap.managementconsole.soap.axis.sapcontrol.J2EEProcess,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,4257,193,915,94,314,18,52,107,6,185,485,24,15,0,0,46,0,342,236,3,1,32,17,35,50,1,90,4,80,108,83,1,14,13,6,0,0,0,35,31,1,0,2,12,2,21,1063,5,1,8,35,0.8384147892754731
com.sap.managementconsole.soap.axis.sapcontrol.J2EEProcess2,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,4456,199,955,97,330,18,55,110,6,196,504,25,15,0,0,49,0,359,249,3,1,34,18,37,52,1,90,4,85,100,88,1,15,13,6,0,0,0,37,33,1,0,2,12,2,21,1065,5,1,2,37,0.8449468502152128
com.sap.managementconsole.soap.axis.sapcontrol.J2EERemoteObject,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,3106,168,657,81,238,18,40,71,6,138,338,20,11,0,0,34,0,255,177,3,1,24,13,27,38,1,88,3,57,70,61,1,10,9,6,0,0,0,27,23,1,0,2,12,2,21,95,5,0,2,27,0.8124599609375001
com.sap.managementconsole.soap.axis.sapcontrol.J2EESession,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,3106,168,657,81,238,18,40,71,6,138,338,20,11,0,0,34,0,255,177,3,1,24,13,27,38,1,88,3,57,70,61,1,10,9,6,0,0,0,27,23,1,0,2,12,2,21,95,5,0,2,27,0.8174448758890984
com.sap.managementconsole.soap.axis.sapcontrol.J2EESharedTableInfo,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1802,139,387,67,146,18,25,32,6,78,202,15,7,0,0,19,0,149,103,3,1,14,8,17,24,1,83,4,27,40,38,1,5,5,6,0,0,0,17,13,1,0,2,12,2,21,25,5,1,2,17,0.8183247863247864
com.sap.managementconsole.soap.axis.sapcontrol.J2EEThread,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,4307,186,938,91,307,18,49,122,6,177,508,23,18,0,0,43,0,340,229,3,1,30,16,33,51,1,89,4,78,88,78,1,13,16,6,0,0,0,33,29,1,0,2,12,2,21,8229,5,1,2,33,0.8177301550038387
com.sap.managementconsole.soap.axis.sapcontrol.J2EEThread2,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,4506,193,978,94,323,18,52,125,6,188,527,24,18,0,0,46,0,357,242,3,1,32,17,35,53,1,90,4,83,94,83,1,14,16,6,0,0,0,35,31,1,0,2,12,2,21,8231,5,1,2,35,0.8269200174190738
com.sap.managementconsole.soap.axis.sapcontrol.J2EEWebSession,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,3106,168,657,81,238,18,40,71,6,138,338,20,11,0,0,34,0,255,177,3,1,24,13,27,38,1,88,3,57,70,61,1,10,9,6,0,0,0,27,23,1,0,2,12,2,21,95,5,0,2,27,0.8235997850529099
com.sap.managementconsole.soap.axis.sapcontrol.LogFile,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1672,133,356,64,134,19,22,35,6,69,183,14,8,0,0,17,0,138,93,3,1,12,7,15,23,1,82,4,24,34,33,1,4,6,6,0,0,0,15,11,1,0,2,12,2,21,27,5,0,2,15,0.7957142857142857
com.sap.managementconsole.soap.axis.sapcontrol.OSProcess,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,2532,150,551,72,190,18,31,62,6,104,296,17,11,0,0,25,0,203,137,3,1,18,10,21,32,1,85,4,41,55,48,1,7,9,6,0,0,0,21,17,1,0,2,12,2,21,89,5,1,3,21,0.7650010326345295
com.sap.managementconsole.soap.axis.sapcontrol.ParameterRestriction,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,2469,171,544,82,179,19,30,64,8,97,295,16,13,0,0,23,0,195,130,3,1,16,9,19,32,3,84,7,37,50,51,2,6,9,7,0,0,0,19,15,1,0,2,12,2,21,151,5,1,3,19,0.7831745830891363
com.sap.managementconsole.soap.axis.sapcontrol.ProfileParameter,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,3901,191,870,92,265,19,46,110,8,153,479,20,21,0,0,37,0,301,202,3,1,24,13,27,48,3,88,6,63,70,69,2,10,13,7,0,0,0,27,23,1,0,2,12,2,21,8223,5,2,2,27,0.7893030303030302
com.sap.managementconsole.soap.axis.sapcontrol.RESTRICTIONTYPE,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,930,116,225,68,102,17,18,2,1,32,101,10,1,0,4,13,0,62,45,5,16,6,1,10,12,1,78,6,1,20,18,1,0,17,2,0,0,1,10,4,1,0,2,12,3,21,12,0,0,2,11,0.7727272727272727
com.sap.managementconsole.soap.axis.sapcontrol.SAPControl_ServiceLocator,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1246,120,318,68,83,18,11,7,4,35,176,11,6,0,17,11,2,94,59,0,0,15,3,13,24,2,84,11,0,39,32,4,0,3,0,0,0,0,15,12,2,0,2,12,3,21,23,8,3,6,15,0.7617324840764332
com.sap.managementconsole.soap.axis.sapcontrol.SAPInstance,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,2366,151,509,73,184,18,31,50,6,102,268,17,9,0,0,25,0,193,133,3,1,18,10,21,30,1,85,4,39,60,48,1,7,7,6,0,0,0,21,17,1,0,2,12,2,21,41,5,1,4,21,0.7732790522247711
com.sap.managementconsole.soap.axis.sapcontrol.STATECOLOR,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,807,107,201,62,81,17,12,2,1,26,95,10,1,0,4,10,0,56,39,5,10,6,1,10,12,1,78,6,1,43,18,1,0,11,2,0,0,1,10,4,1,0,2,12,3,21,12,0,0,15,11,0.7696363636363637
com.sap.managementconsole.soap.axis.sapcontrol.SetProfileParameter,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1600,143,347,70,122,19,21,37,8,62,181,13,10,0,0,14,0,130,86,3,1,10,6,13,23,3,81,4,20,28,32,2,3,6,7,0,0,0,13,11,1,0,2,12,2,21,33,5,0,2,13,0.7735698924731184
com.sap.managementconsole.soap.axis.sapcontrol.StartStopOption,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,889,113,217,66,95,17,16,2,1,30,99,10,1,0,4,12,0,60,43,5,14,6,1,10,12,1,78,6,1,18,18,1,0,15,2,0,0,1,10,4,1,0,2,12,3,21,12,0,0,5,11,0.7796608187134504
com.sap.managementconsole.soap.axis.sapcontrol.SubProfileParameter,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1986,143,434,69,152,18,25,46,8,80,233,15,10,0,0,19,0,159,107,3,1,14,8,17,27,1,83,5,29,42,39,1,5,7,6,0,0,0,17,12,1,0,2,12,2,21,37,5,1,2,17,0.8092252252252252
com.sap.managementconsole.soap.axis.sapcontrol.SyslogEntry,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,2897,163,633,76,212,18,34,77,6,117,343,18,13,0,0,28,0,230,154,3,1,20,11,23,36,1,86,4,48,58,53,1,8,11,6,0,0,0,23,19,1,0,2,12,2,21,283,5,1,2,23,0.7837512267602292
com.sap.managementconsole.soap.axis.sapcontrol.TaskHandlerQueue,13289,9739,143,104,1038,478,46,46,1849,4,0,7,6,1168,881,2,0,1895,149,392,69,159,18,28,29,6,89,192,16,6,0,0,22,0,162,115,3,1,16,9,19,25,1,84,3,32,46,41,1,6,4,6,0,0,0,19,15,1,0,2,12,2,21,25,5,0,2,19,0.7384223848543607
