Class,CSORD_AvgLineCodeExe,CSLEX_NumberOfConditionalJumpStatements,CSORD_AvgLineCode,CSORD_NumberOfDepends,CSLEX_NumberOfUniqueIdentifiers,CSLEX_NumberOfDots,CSORD_CountDeclInstanceMethod,CSORD_CountDeclMethodPublic,CSORD_NIM,CSORD_AvgStmtDecl,CSORD_CountDeclClassMethod,CSLEX_NumberOfNewStatements,CSLEX_NumberOfReturnAndPrintStatements,CSORD_NumberOfClassConstructors,PK_CountDeclClassMethod,Testability
com.sap.managementconsole.soap.axis.sapcontrol.DirEntry,3.3846153846153846,7,6,0,61,150,10,13,12,1.2307692307692308,3,14,13,2,143,0.7574931506849317
com.sap.managementconsole.soap.axis.sapcontrol.EnqLock,3.548387096774193,15,6,0,90,421,28,31,12,1.0967741935483872,3,40,22,2,143,0.8218342907040358
com.sap.managementconsole.soap.axis.sapcontrol.GCInfo,3.0,9,5,0,94,393,32,35,12,1.0857142857142856,3,53,24,2,143,0.8945510752688173
com.sap.managementconsole.soap.axis.sapcontrol.GCInfo2,3.0256410256410247,10,5,1,101,461,36,39,12,1.0769230769230769,3,60,26,2,143,0.8937793998377941
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,3.130434782608696,8,6,1,77,278,20,23,12,1.1304347826086956,3,33,18,2,143,0.776749021003916
com.sap.managementconsole.soap.axis.sapcontrol.ICMCacheEntry,3.44,12,6,0,82,323,22,25,12,1.12,3,32,19,2,143,0.8046669624307476
com.sap.managementconsole.soap.axis.sapcontrol.ICMConnection,3.3548387096774195,12,6,0,87,390,28,31,12,1.0967741935483872,3,40,22,2,143,0.8240769688553861
com.sap.managementconsole.soap.axis.sapcontrol.ICMProxyConnection,3.5853658536585367,18,6,0,103,569,38,41,12,1.0731707317073171,3,55,27,2,143,0.8471289046230738
com.sap.managementconsole.soap.axis.sapcontrol.ICMThread,3.5294117647058822,9,6,0,67,216,14,17,12,1.1764705882352942,3,20,15,2,143,0.71815625
com.sap.managementconsole.soap.axis.sapcontrol.InstanceProperty,3.615384615384616,8,6,0,60,163,10,13,12,1.2307692307692308,3,13,13,2,143,0.764344370860927
com.sap.managementconsole.soap.axis.sapcontrol.InstanceVersionInfo,3.615384615384616,8,6,0,60,163,10,13,12,1.2307692307692308,3,13,13,2,143,0.7623087248322146
com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,3.5294117647058822,9,6,0,66,215,14,17,12,1.1764705882352942,3,19,15,2,143,0.7194322916666667
com.sap.managementconsole.soap.axis.sapcontrol.J2EECache,2.976744186046512,10,5,1,107,494,40,43,12,1.069767441860465,3,61,28,2,143,0.9061138392857142
com.sap.managementconsole.soap.axis.sapcontrol.J2EECache2,3.0222222222222217,11,5,1,109,527,42,45,12,1.0666666666666669,3,64,29,2,143,0.8553219087550987
com.sap.managementconsole.soap.axis.sapcontrol.J2EEClusterMsg,2.896551724137931,7,5,0,85,310,26,29,12,1.1034482758620692,3,46,21,2,143,0.8762683706070288
com.sap.managementconsole.soap.axis.sapcontrol.J2EEEJBSession,3.45945945945946,15,6,0,96,489,34,37,12,1.0810810810810811,3,49,25,2,143,0.8558496700994594
com.sap.managementconsole.soap.axis.sapcontrol.J2EEPSTATE,1.7272727272727273,1,3,0,68,101,6,10,12,1.0909090909090908,5,13,10,1,143,0.7813447293447294
com.sap.managementconsole.soap.axis.sapcontrol.J2EEProcess,3.5142857142857142,15,6,1,94,485,32,35,12,1.0857142857142856,3,46,24,2,143,0.8384147892754731
com.sap.managementconsole.soap.axis.sapcontrol.J2EEProcess2,3.45945945945946,15,6,1,97,504,34,37,12,1.0810810810810811,3,49,25,2,143,0.8449468502152128
com.sap.managementconsole.soap.axis.sapcontrol.J2EERemoteObject,3.3703703703703702,11,6,0,81,338,24,27,12,1.1111111111111112,3,34,20,2,143,0.8124599609375001
com.sap.managementconsole.soap.axis.sapcontrol.J2EESession,3.3703703703703702,11,6,0,81,338,24,27,12,1.1111111111111112,3,34,20,2,143,0.8174448758890984
com.sap.managementconsole.soap.axis.sapcontrol.J2EESharedTableInfo,3.1764705882352944,7,6,1,67,202,14,17,12,1.1764705882352942,3,19,15,2,143,0.8183247863247864
com.sap.managementconsole.soap.axis.sapcontrol.J2EEThread,3.8484848484848486,18,6,1,91,508,30,33,12,1.0909090909090908,3,43,23,2,143,0.8177301550038387
com.sap.managementconsole.soap.axis.sapcontrol.J2EEThread2,3.7714285714285714,18,6,1,94,527,32,35,12,1.0857142857142856,3,46,24,2,143,0.8269200174190738
com.sap.managementconsole.soap.axis.sapcontrol.J2EEWebSession,3.3703703703703702,11,6,0,81,338,24,27,12,1.1111111111111112,3,34,20,2,143,0.8235997850529099
com.sap.managementconsole.soap.axis.sapcontrol.LogFile,3.466666666666667,8,6,0,64,183,12,15,12,1.2,3,17,14,2,143,0.7957142857142857
com.sap.managementconsole.soap.axis.sapcontrol.OSProcess,3.6190476190476177,11,6,1,72,296,18,21,12,1.1428571428571428,3,25,17,2,143,0.7650010326345295
com.sap.managementconsole.soap.axis.sapcontrol.ParameterRestriction,4.052631578947368,13,7,1,82,295,16,19,12,1.263157894736842,3,23,16,2,143,0.7831745830891363
com.sap.managementconsole.soap.axis.sapcontrol.ProfileParameter,4.481481481481481,21,7,2,92,479,24,27,12,1.3333333333333333,3,37,20,2,143,0.7893030303030302
com.sap.managementconsole.soap.axis.sapcontrol.RESTRICTIONTYPE,1.7272727272727273,1,3,0,68,101,6,10,12,1.0909090909090908,5,13,10,1,143,0.7727272727272727
com.sap.managementconsole.soap.axis.sapcontrol.SAPControl_ServiceLocator,2.933333333333333,6,5,3,68,176,15,15,12,1.3333333333333333,0,11,11,3,143,0.7617324840764332
com.sap.managementconsole.soap.axis.sapcontrol.SAPInstance,3.333333333333333,9,6,1,73,268,18,21,12,1.1428571428571428,3,25,17,2,143,0.7732790522247711
com.sap.managementconsole.soap.axis.sapcontrol.STATECOLOR,1.7272727272727273,1,3,0,62,95,6,10,12,1.0909090909090908,5,10,10,1,143,0.7696363636363637
com.sap.managementconsole.soap.axis.sapcontrol.SetProfileParameter,4.076923076923077,10,7,0,70,181,10,13,12,1.3846153846153846,3,14,13,2,143,0.7735698924731184
com.sap.managementconsole.soap.axis.sapcontrol.StartStopOption,1.7272727272727273,1,3,0,66,99,6,10,12,1.0909090909090908,5,12,10,1,143,0.7796608187134504
com.sap.managementconsole.soap.axis.sapcontrol.SubProfileParameter,3.5294117647058822,10,6,1,69,233,14,17,12,1.1764705882352942,3,19,15,2,143,0.8092252252252252
com.sap.managementconsole.soap.axis.sapcontrol.SyslogEntry,3.782608695652174,13,6,1,76,343,20,23,12,1.1304347826086956,3,28,18,2,143,0.7837512267602292
com.sap.managementconsole.soap.axis.sapcontrol.TaskHandlerQueue,2.9473684210526314,6,5,0,69,192,16,19,12,1.1578947368421053,3,22,16,2,143,0.7384223848543607
com.sap.managementconsole.soap.axis.sapcontrol.VISIBLELEVEL,1.7272727272727273,1,3,0,62,95,6,10,12,1.0909090909090908,5,10,10,1,143,0.7626226415094339
com.sap.managementconsole.soap.axis.sapcontrol.WorkProcess,3.702702702702703,18,6,0,96,531,34,37,12,1.0810810810810811,3,49,25,2,143,0.8486063711102277
com.sap.managementconsole.soap.axis.saphostcontrol.ACOperation,4.090909090909091,9,7,2,68,178,8,11,12,1.4545454545454546,3,11,12,2,85,0.7291935483870967
com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationArguments,3.5454545454545454,7,6,0,57,130,8,11,12,1.2727272727272727,3,10,12,2,85,0.7160108401084012
com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationCode,1.7272727272727273,1,3,0,64,97,6,10,12,1.0909090909090908,5,11,10,1,85,0.7863247863247863
com.sap.managementconsole.soap.axis.saphostcontrol.CIMAttribute,3.615384615384616,8,6,0,60,163,10,13,12,1.2307692307692308,3,13,13,2,85,0.7623087248322146
com.sap.managementconsole.soap.axis.saphostcontrol.CIMObject,4.636363636363637,11,8,1,68,198,8,11,12,1.6363636363636365,3,12,12,2,85,0.7518145161290323
com.sap.managementconsole.soap.axis.saphostcontrol.CancelOperationType,1.7272727272727273,1,3,0,60,93,6,10,12,1.0909090909090908,5,9,10,1,85,0.7664691358024692
com.sap.managementconsole.soap.axis.saphostcontrol.Database,4.538461538461538,12,8,3,72,244,10,13,12,1.5384615384615383,3,15,13,2,85,0.7711111111111112
com.sap.managementconsole.soap.axis.saphostcontrol.DatabaseComponent,4.090909090909091,9,7,2,68,178,8,11,12,1.4545454545454546,3,11,12,2,85,0.7246280991735536
com.sap.managementconsole.soap.axis.saphostcontrol.DatabaseStatus,1.7272727272727273,1,3,0,72,105,6,10,12,1.0909090909090908,5,15,10,1,85,0.7448979591836734
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceOptionsFlags,1.7272727272727273,1,3,0,68,101,6,10,12,1.0909090909090908,5,13,10,1,85,0.7641509433962264
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceSelector,3.5454545454545454,7,6,1,58,145,8,11,12,1.2727272727272727,3,10,12,2,85,0.7169586776859505
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceServiceOperation,3.5454545454545454,7,6,2,58,160,8,11,12,1.2727272727272727,3,10,12,2,85,0.7180336134453781
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceStatus,1.7272727272727273,1,3,0,62,95,6,10,12,1.0909090909090908,5,10,10,1,85,0.7772035398230088
com.sap.managementconsole.soap.axis.saphostcontrol.OperationCode,1.7272727272727273,1,3,0,62,95,6,10,12,1.0909090909090908,5,10,10,1,85,0.7626226415094339
com.sap.managementconsole.soap.axis.saphostcontrol.OperationOptions,3.8181818181818175,8,7,1,68,150,8,11,12,1.4545454545454546,3,12,12,2,85,0.714875
com.sap.managementconsole.soap.axis.saphostcontrol.OperationResult,4.090909090909091,9,7,1,68,163,8,11,12,1.4545454545454546,3,11,12,2,85,0.724509485094851
com.sap.managementconsole.soap.axis.saphostcontrol.Property,3.5454545454545454,7,6,0,57,130,8,11,12,1.2727272727272727,3,10,12,2,85,0.7145136612021858
com.sap.managementconsole.soap.axis.saphostcontrol.ResponseMessage,3.5454545454545454,7,6,0,57,130,8,11,12,1.2727272727272727,3,10,12,2,85,0.7129917355371901
com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControl_ServiceLocator,2.933333333333333,6,5,3,68,176,15,15,12,1.3333333333333333,0,11,11,3,85,0.7589220779220781
com.sap.managementconsole.soap.axis.saphostcontrol.SAPInstance,3.6666666666666665,9,6,0,63,196,12,15,12,1.2,3,16,14,2,85,0.683874663517295
com.sap.managementconsole.soap.axis.saphostcontrol.ServiceIdentifier,3.4444444444444446,6,6,0,54,97,6,9,12,1.3333333333333333,3,7,11,2,85,0.639578947368421
com.sap.managementconsole.soap.axis.saphostcontrol.ServiceType,1.7272727272727273,1,3,0,62,95,6,10,12,1.0909090909090908,5,10,10,1,85,0.7557669902912622
com.sap.managementconsole.soap.axis.saphostcontrol.TargetService,3.5454545454545454,7,6,2,58,160,8,11,12,1.2727272727272727,3,10,12,2,85,0.711391304347826
com.sap.netweaver.porta.core.ServerFactory,14.0,6,20,2,53,39,0,1,12,5.0,1,7,1,0,3,0.3950933333333333
com.sap.netweaver.porta.core.mock.ApplicationMock,1.6111111111111112,1,3,2,53,36,18,16,12,1.2222222222222223,0,2,11,1,1,0.823888888888889
com.sap.netweaver.porta.core.mock.CoreModuleMock,4.75,5,8,7,31,48,4,1,12,1.25,0,3,1,0,1,0.4021818181818182
com.sap.netweaver.porta.core.mock.DeployManagerMock,3.6,4,6,10,42,55,5,5,16,1.8,0,5,5,0,1,0.1833333333333333
com.sap.netweaver.porta.core.mock.LifecycleManagerMock,6.5,9,10,6,44,53,8,6,16,1.375,0,3,7,0,1,0.1716666666666667
com.sap.netweaver.porta.core.mock.ServerFactory,3.0,1,6,2,14,12,0,1,12,1.0,1,1,1,0,1,0.4
com.sap.netweaver.porta.core.mock.ServerMock,1.6,2,4,6,24,27,5,5,12,1.0,0,3,4,0,1,1.0
com.sap.netweaver.porta.core.nw7.ApplicationImpl,1.2,1,3,3,28,47,10,9,12,1.0,0,0,10,1,1,0.7346938775510202
com.sap.netweaver.porta.core.nw7.CoreModuleImpl,1.0,1,4,3,18,23,5,2,12,1.0,0,0,0,1,1,0.8796666666666666
com.sap.netweaver.porta.core.nw7.DMUtilsImpl,4.0,6,6,13,74,115,10,10,12,2.4,0,15,10,0,1,0.6359773876144503
com.sap.netweaver.porta.core.nw7.DeployManagerImpl,7.555555555555554,5,10,17,118,202,9,6,17,3.7777777777777777,0,25,8,2,1,0.1158021978021978
com.sap.netweaver.porta.core.nw7.FileUploaderImpl,13.333333333333336,8,17,4,82,112,3,3,12,3.6666666666666665,0,18,1,1,1,0.2261830065359477
com.sap.netweaver.porta.core.nw7.LMUtilsImpl,6.833333333333332,16,10,9,85,116,6,6,12,2.6666666666666665,0,4,16,0,1,0.3440533660350767
com.sap.netweaver.porta.core.nw7.LifecycleManagerImpl,7.8,5,11,11,106,134,10,7,17,2.9,0,21,14,2,1,0.13009477124183
com.sap.netweaver.porta.core.nw7.Operation,9.5,7,13,7,51,70,4,2,12,2.25,0,3,5,1,1,0.194
com.sap.netweaver.porta.core.nw7.ServerFactory,10.0,2,15,3,35,25,0,1,12,6.0,1,3,4,0,1,0.3853653333333333
com.sap.netweaver.porta.core.nw7.ServerImpl,5.0,3,7,10,56,60,7,6,12,1.8571428571428568,0,11,4,2,1,0.4877439024390244
com.sap.netweaver.porta.core.snippets.SnippetFindJ2EEInstance,8.0,3,11,4,42,49,0,1,12,3.5,2,2,6,0,23,0.0786666666666666
com.sap.netweaver.porta.core.snippets.SnippetGetApplications,7.333333333333332,2,9,3,54,51,0,1,12,2.6666666666666665,3,3,5,0,23,0.0753333333333333
com.sap.netweaver.porta.core.snippets.SnippetGetHttpAccessPoint,6.0,0,8,2,25,25,0,1,12,3.0,1,1,1,0,23,0.3666666666666667
com.sap.netweaver.porta.core.snippets.SnippetGetProcessList,4.0,1,6,3,38,39,0,1,12,3.0,2,2,4,0,23,0.15
com.sap.netweaver.porta.core.snippets.SnippetGetSystemName,7.0,0,9,2,30,26,0,1,12,4.0,1,1,1,0,23,0.3222666666666666
com.sap.netweaver.porta.core.snippets.SnippetJ2EEGetProcessList,4.0,1,6,3,38,39,0,1,12,3.0,2,2,4,0,23,0.15
com.sap.netweaver.porta.core.snippets.SnippetPing,7.0,0,9,2,29,26,0,1,12,3.0,1,1,1,0,23,0.3365333333333333
com.sap.netweaver.porta.core.snippets.SnippetServerFactory,11.0,0,13,3,26,36,0,1,12,5.0,1,1,3,0,23,0.2521333333333333
com.sap.netweaver.porta.core.snippets.SnippetShutdownInstance,5.25,4,8,4,56,58,0,1,12,2.5,4,2,8,0,23,0.0579999999999999
com.sap.netweaver.porta.core.snippets.SnippetShutdownInstanceAuthCallback,8.75,8,12,8,83,110,0,1,12,3.25,4,7,13,0,23,0.0403333333333333
com.sap.netweaver.porta.core.snippets.SnippetStartStopServer,23.0,3,27,6,57,94,0,1,12,5.0,1,6,12,0,23,0.0758666666666666
com.sap.netweaver.porta.core.snippets.SnippetUseDeployManager,7.666666666666668,2,10,10,50,77,2,2,12,3.0,1,5,5,0,23,0.8413333333333334
com.sap.netweaver.porta.ide.eclipse.SapNWPlugin,2.2,1,4,1,66,57,3,9,12,1.4,7,7,3,1,7,0.5931376146788991
com.sap.netweaver.porta.ide.eclipse.axis.proxy.AxisTransportClientProperties,2.0,5,4,0,24,20,5,5,12,2.0,0,0,5,0,0,0.8483333333333333
com.sap.netweaver.porta.ide.eclipse.server.SapNWRefreshStateJob,7.0,2,11,2,36,53,2,1,12,2.5,0,0,1,1,0,0.2896666666666667
com.sap.netweaver.porta.ide.eclipse.server.SapNWServer,4.7,19,7,8,126,203,20,13,12,1.95,0,10,21,2,0,0.5461436464088397
com.sap.netweaver.porta.ide.eclipse.server.control.AuthCallback,12.5,6,17,6,53,67,2,2,12,3.0,0,5,4,1,5,0.3766666666666666
com.sap.netweaver.porta.ide.eclipse.server.control.ModuleExportOperation,5.666666666666668,6,8,1,77,120,2,2,12,2.0,4,9,8,1,5,0.2543571428571428
com.sap.netweaver.porta.ide.eclipse.server.control.PublishException,2.333333333333333,1,4,3,22,24,2,2,48,1.0,1,0,4,1,5,0.8
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWLaunchConfigurationDelegate,6.0,1,10,2,35,55,1,1,12,3.0,0,0,0,0,5,0.2063333333333333
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWLaunchConfigurationTabGroup,6.0,0,8,0,25,30,1,1,12,2.0,0,4,0,0,5,1.0
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWLaunchableAdapterDelegate,23.0,5,29,2,63,99,1,1,12,6.0,0,2,4,0,5,0.0189333333333333
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWPublishOperation,8.333333333333334,14,12,8,106,205,12,4,12,2.1666666666666665,0,15,13,1,5,0.5433333333333333
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWPublishTask,6.166666666666668,12,9,3,61,83,6,1,12,3.5,0,7,7,0,5,0.0623333333333333
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWServerBehavior,6.173913043478263,26,9,15,168,356,23,10,12,1.826086956521739,0,11,23,0,5,0.105
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWSourcePathComputerDelegate,19.0,9,25,0,85,113,2,1,12,10.0,0,8,1,0,5,0.0393333333333333
com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNWRuntime,2.555555555555556,5,6,2,79,89,9,6,12,1.5555555555555556,0,4,8,0,0,0.6986666666666667
com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNWRuntimeClasspathProvider,12.0,6,15,3,70,90,3,1,12,4.0,0,5,8,0,0,0.08512
com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs.LoginDialog,6.6,1,8,0,59,73,5,3,12,2.0,0,11,3,1,1,0.0556666666666666
com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs.NoWSGateDialog,10.6,1,13,2,92,123,5,1,12,2.2,0,9,3,1,1,0.0416666666666666
com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs.PublishProblemDialog,7.0,3,9,3,81,95,4,1,12,1.8,1,4,3,1,1,0.256
com.sap.netweaver.porta.ide.eclipse.server.ui.editor.SapNWInstanceEditorSection,11.0,1,13,4,77,120,3,3,12,3.0,0,5,0,1,0,0.321
com.sap.netweaver.porta.ide.eclipse.server.ui.wizard.SapNWRuntimeComposite,21.0,8,24,2,119,218,5,0,12,3.6,0,30,2,1,1,0.0113333333333333
com.sap.netweaver.porta.ide.eclipse.server.ui.wizard.SapNWRuntimeWizardFragment,5.222222222222221,11,8,3,99,125,8,7,12,2.2222222222222223,1,11,5,1,1,0.240152610441767
com.sap.netweaver.porta.ide.eclipse.server.ui.wizard.SapNWServerComposite,12.2,14,16,3,155,234,10,0,12,2.4,0,21,12,1,1,0.0066666666666666
com.sap.netweaver.porta.ide.eclipse.server.ui.wizard.SapNWServerWizardFragment,3.875,6,6,5,75,102,8,6,12,2.125,0,2,6,1,1,0.2503333333333333
com.sap.netweaver.porta.ide.eclipse.util.FacetUtil,3.0,0,5,0,45,45,0,2,12,1.5,2,0,3,0,14,0.4459999999999999
com.sap.netweaver.porta.ide.eclipse.util.ProxyUtil,11.75,12,15,2,70,88,0,1,12,4.75,4,2,7,0,14,0.0246666666666666
com.sap.netweaver.porta.ide.eclipse.util.ProxyUtilCaller,6.0,0,9,2,27,26,0,1,12,3.0,1,0,0,0,14,0.3299999999999999
com.sap.netweaver.porta.ide.eclipse.util.SapNWServerUtil,1.75,4,4,1,25,19,0,4,12,1.25,4,0,5,0,14,0.3965839342658903
com.sap.netweaver.porta.ide.eclipse.util.StatusUtil,3.0,2,5,0,24,18,0,3,12,1.3333333333333333,3,0,5,0,14,0.2899999880491517
com.sap.netweaver.porta.mon.AppCommand,3.0,2,5,7,35,42,3,0,13,1.6666666666666667,0,0,6,0,7,0.1559999999999999
com.sap.netweaver.porta.mon.Command,0.0,0,0,0,26,5,1,1,12,1.0,0,0,0,0,7,1.0
com.sap.netweaver.porta.mon.CommandFactory,27.0,1,30,13,34,76,0,1,12,1.0,1,13,12,0,7,0.0188741608301468
com.sap.netweaver.porta.mon.DeployCommand,10.0,1,13,10,45,51,2,1,13,2.5,0,3,7,0,7,0.1116666666666666
com.sap.netweaver.porta.mon.DeployManagerAuthenticationCallback,15.0,1,20,6,32,44,1,1,12,3.0,0,2,5,0,7,0.2445599999999999
com.sap.netweaver.porta.mon.DisableDebuggingCommand,6.0,0,8,8,36,40,2,1,13,2.0,0,0,5,0,7,0.278
com.sap.netweaver.porta.mon.EnableDebuggingCommand,17.0,0,20,9,35,48,1,1,13,4.0,0,1,3,0,7,0.3726666666666666
com.sap.netweaver.porta.mon.ExitCommand,5.0,0,7,2,19,10,1,1,13,2.0,0,0,3,0,7,0.5
com.sap.netweaver.porta.mon.LifecycleManagerAuthenticationCallback,15.0,1,20,6,32,44,1,1,12,3.0,0,2,5,0,7,0.2445599999999999
com.sap.netweaver.porta.mon.ListAppsCommand,30.0,1,34,9,41,65,1,1,13,5.0,0,1,3,0,7,0.1333333333333333
com.sap.netweaver.porta.mon.PortaMon,5.357142857142857,5,7,7,75,90,8,8,12,1.5714285714285714,6,8,32,1,7,0.2937161716171617
com.sap.netweaver.porta.mon.RestartCommand,9.0,0,12,8,25,33,1,1,13,2.0,0,0,3,0,7,0.4073333333333333
com.sap.netweaver.porta.mon.StartAppCommand,15.0,1,19,9,33,38,1,1,16,5.0,0,1,4,0,7,0.1586666666666666
com.sap.netweaver.porta.mon.StartCommand,9.0,0,12,8,25,33,1,1,13,2.0,0,0,3,0,7,0.4073333333333333
com.sap.netweaver.porta.mon.StateCommand,9.0,0,12,9,29,39,1,1,13,3.0,0,0,3,0,7,0.4073333333333333
com.sap.netweaver.porta.mon.StopAppCommand,15.0,1,19,9,33,38,1,1,16,5.0,0,1,4,0,7,0.1586666666666666
com.sap.netweaver.porta.mon.StopCommand,9.0,0,12,8,26,33,1,1,13,2.0,0,0,3,0,7,0.4073333333333333
com.sap.netweaver.porta.mon.UndeployCommand,23.0,2,28,11,41,47,1,1,16,6.0,0,2,6,0,7,0.1006666666666666
net.sourceforge.squirrel_sql.client.Application,6.491803278688525,51,12,62,394,599,61,38,12,2.0163934426229506,0,70,27,1,23,0.2239999999999999
net.sourceforge.squirrel_sql.client.ApplicationArguments,4.142857142857143,10,8,2,98,117,17,14,12,1.3333333333333333,4,8,20,1,23,0.8029999999999999
net.sourceforge.squirrel_sql.client.DummyAppPlugin,1.0,0,4,1,12,8,4,4,32,1.0,0,0,4,0,23,1.0
net.sourceforge.squirrel_sql.client.FileTransformer,17.5,4,26,1,42,50,0,1,12,5.0,2,4,6,0,23,0.2939504132231404
net.sourceforge.squirrel_sql.client.FontInfoStore,2.0,2,5,1,23,14,3,3,12,1.6666666666666667,0,2,1,1,23,0.7466666666666667
