Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	weka.core.neighboursearch.balltrees.MiddleOutConstructor::calcRadius(weka.core.neighboursearch.balltrees.MiddleOutConstructor.TempNode, weka.core.neighboursearch.balltrees.MiddleOutConstructor.TempNode):double	weka.core.neighboursearch.balltrees.MiddleOutConstructor.TempNode	1/2	
Move Method	weka.core.neighboursearch.balltrees.MiddleOutConstructor::calcRadius(weka.core.neighboursearch.balltrees.MiddleOutConstructor.MyIdxList, weka.core.neighboursearch.balltrees.MiddleOutConstructor.MyIdxList, weka.core.Instance, weka.core.Instances):double	weka.core.neighboursearch.balltrees.MiddleOutConstructor.MyIdxList	1/2	
Move Method	weka.core.pmml.DerivedFieldMetaInfo::setFieldDefs(weka.core.Instances):void	weka.core.Instances	1/2	
Move Method	weka.core.pmml.TransformationDictionary::setFieldDefsForDerivedFields(weka.core.Instances):void	weka.core.Instances	1/2	
Move Method	weka.estimators.CheckEstimator::canSplitUpClass(weka.estimators.CheckEstimator.AttrTypes, int):void	weka.estimators.CheckEstimator.AttrTypes	1/2	
Move Method	weka.estimators.Estimator::addValues(weka.core.Instances, int, double, double, double):void	weka.core.Instances	1/2	
Move Method	weka.experiment.PairedTTester.Resultset::dataset(weka.core.Instance):weka.core.FastVector	weka.core.FastVector	1/2	
Move Method	weka.experiment.PairedTTester.Resultset::sort(int):void	weka.core.FastVector	1/2	
Move Method	weka.filters.CheckSource::compare(weka.core.Instances, weka.core.Instances):boolean	weka.core.Instances	1/2	
Move Method	weka.filters.unsupervised.attribute.Add::getNominalLabels():java.lang.String	weka.core.FastVector	1/2	
Move Method	weka.gui.arffviewer.ArffTableModel::getAttributeColumn(java.lang.String):int	weka.core.Instances	1/2	
Move Method	weka.gui.arffviewer.ArffTableModel::isClassIndex(int):boolean	weka.core.Instances	1/2	
Move Method	weka.gui.beans.CostBenefitAnalysis.AnalysisPanel::findIndexForValue(double, weka.core.Instances, int):int	weka.core.Instances	1/2	
Move Method	weka.gui.beans.KnowledgeFlowApp::runFlow(boolean):void	weka.gui.beans.KnowledgeFlowApp.MainKFPerspective	1/2	
Move Method	weka.gui.beans.KnowledgeFlowApp::stopFlow():void	weka.gui.beans.KnowledgeFlowApp.MainKFPerspective	1/2	
Move Method	weka.gui.beans.KnowledgeFlowApp::closeAllTabs():void	weka.gui.beans.KnowledgeFlowApp.MainKFPerspective	1/2	
Move Method	weka.gui.beans.KnowledgeFlowApp::highlightSubFlow(int, int, int, int):void	weka.gui.beans.KnowledgeFlowApp.MainKFPerspective	1/2	
Move Method	weka.gui.beans.Sorter::copyStringAttVals(weka.gui.beans.Sorter.InstanceHolder):void	weka.gui.beans.Sorter.InstanceHolder	1/2	
Move Method	weka.gui.graphvisualizer.DotParser::nodeID(java.io.StreamTokenizer):void	weka.core.FastVector	1/2	
Move Method	weka.gui.treevisualizer.PlaceNode2::nodeY(weka.gui.treevisualizer.Node):void	weka.gui.treevisualizer.Node	1/2	
Move Method	weka.gui.visualize.VisualizePanel.PlotPanel::getXCoords(weka.core.FastVector):int[]	weka.core.FastVector	1/2	
Move Method	weka.gui.visualize.VisualizePanel.PlotPanel::getYCoords(weka.core.FastVector):int[]	weka.core.FastVector	1/2	
Move Method	weka.classifiers.trees.RandomTree::distribution(double[][], double[][][], int, weka.core.Instances):double	weka.core.Instances	2/5	
Move Method	weka.classifiers.evaluation.output.prediction.AbstractOutput::printClassifications(weka.classifiers.Classifier, weka.core.converters.ConverterUtils.DataSource):void	weka.core.converters.ConverterUtils.DataSource	2/4	
Move Method	weka.datagenerators.clusterers.SubspaceCluster::generateGaussianExamples(weka.core.Instances, int, java.util.Random, weka.datagenerators.clusterers.SubspaceClusterDefinition, java.lang.String):void	weka.datagenerators.clusterers.SubspaceClusterDefinition	2/4	
Move Method	weka.gui.beans.ClassAssigner::assignClass(weka.core.Instances):void	weka.core.Instances	2/4	
Move Method	weka.classifiers.bayes.net.GUI.Selection::removeFromSelection(int):void	weka.core.FastVector	2/3	
Move Method	weka.classifiers.bayes.net.search.global.HillClimber::performOperation(weka.classifiers.bayes.BayesNet, weka.core.Instances, weka.classifiers.bayes.net.search.global.HillClimber.Operation):void	weka.classifiers.bayes.net.search.global.HillClimber.Operation	2/3	
Move Method	weka.classifiers.bayes.net.search.local.HillClimber::performOperation(weka.classifiers.bayes.BayesNet, weka.core.Instances, weka.classifiers.bayes.net.search.local.HillClimber.Operation):void	weka.classifiers.bayes.net.search.local.HillClimber.Operation	2/3	
Move Method	weka.classifiers.bayes.net.search.local.HillClimber.Cache::put(weka.classifiers.bayes.net.search.local.HillClimber.Operation, double):void	weka.classifiers.bayes.net.search.local.HillClimber.Operation	2/3	
Move Method	weka.classifiers.bayes.net.search.local.HillClimber.Cache::get(weka.classifiers.bayes.net.search.local.HillClimber.Operation):double	weka.classifiers.bayes.net.search.local.HillClimber.Operation	2/3	
Move Method	weka.classifiers.bayes.net.search.local.LocalScoreSearchAlgorithm::logScore(int):double	weka.classifiers.bayes.BayesNet	2/3	
Move Method	weka.classifiers.bayes.net.search.local.LocalScoreSearchAlgorithm::calcNodeScoreADTree(int):double	weka.classifiers.bayes.BayesNet	2/3	
Move Method	weka.classifiers.lazy.kstar.KStarNominalAttribute::calculateSphereSize(int, double, weka.classifiers.lazy.kstar.KStarWrapper):void	weka.classifiers.lazy.kstar.KStarWrapper	2/3	
Move Method	weka.classifiers.trees.REPTree.Tree::distribution(double[][], double[][][], int, int[], double[], double[][], weka.core.Instances):double	weka.core.Instances	2/3	
Move Method	weka.classifiers.trees.REPTree.Tree::numericDistribution(double[][], double[][][], int, int[], double[], double[][], weka.core.Instances, double[]):double	weka.core.Instances	2/3	
Move Method	weka.classifiers.trees.lmt.ResidualModelSelection::selectModel(weka.core.Instances, double[][], double[][]):weka.classifiers.trees.j48.ClassifierSplitModel	weka.core.Instances	2/3	
Move Method	weka.datagenerators.clusterers.SubspaceCluster::generateUniformExamples(weka.core.Instances, int, weka.datagenerators.clusterers.SubspaceClusterDefinition, java.lang.String):void	weka.datagenerators.clusterers.SubspaceClusterDefinition	2/3	
Move Method	weka.datagenerators.clusterers.SubspaceCluster::generateUniformIntegerExamples(weka.core.Instances, int, weka.datagenerators.clusterers.SubspaceClusterDefinition, java.lang.String):void	weka.datagenerators.clusterers.SubspaceClusterDefinition	2/3	
Move Method	weka.experiment.PairedTTester.DatasetSpecifiers::add(weka.core.Instance):void	weka.core.FastVector	2/3	
Move Method	weka.gui.visualize.VisualizePanel::setInstances(weka.core.Instances):void	weka.core.Instances	2/3	
